Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
Internal,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,89509,116126,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,2,IT Security Specialist - Security Audits (2 positions),"Technology, Data & Innovation",F,75000,90000,Annual,"1 Centre St., N.Y.",Management Audit
External,2,IT Security Specialist - Security Audits (2 positions),"Technology, Data & Innovation",F,75000,90000,Annual,"1 Centre St., N.Y.",Management Audit
Internal,1,Procurement Specialist,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,48399,78211,Annual,96-05 Horace Harding Expway,Capital Program Unit
External,1,Procurement Specialist,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,48399,78211,Annual,96-05 Horace Harding Expway,Capital Program Unit
External,1,CERTIFIED IT DEVELOPER (APPLICATIONS),"Technology, Data & Innovation",F,82884,116391,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,CERTIFIED IT DEVELOPER (APPLICATIONS),"Technology, Data & Innovation",F,82884,116391,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,2,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,79564,99161,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,2,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,79564,99161,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,89509,116126,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,89509,116126,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,Human Resources Specialist,Administration & Human Resources,F,50000,60000,Annual,"33 Beaver St, New York Ny",Human Resources
External,1,Human Resources Specialist,Administration & Human Resources,F,50000,60000,Annual,"33 Beaver St, New York Ny",Human Resources
Internal,1,"Chief, Infrastructure - Southeast Queens","Engineering, Architecture, & Planning",F,63031,147057,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA
Internal,1,Assistant Counsel,"Legal Affairs Policy, Research & Analysis",F,70000,90000,Annual,"120 Broadway, New York, NY",Counsel
External,1,Assistant Counsel,"Legal Affairs Policy, Research & Analysis",F,70000,90000,Annual,"120 Broadway, New York, NY",Counsel
Internal,1,CHIEF OF SHAFT MAINTENANCE,"Engineering, Architecture, & Planning",F,69940,186555,Annual,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,3,Auto Body Worker,Building Operations & Maintenance,F,46993,60675,Annual,"53-15 58Th St., Queens",Fleet Services DIV/CIV and CAD
Internal,3,Auto Body Worker,Building Operations & Maintenance,F,46993,60675,Annual,"53-15 58Th St., Queens",Fleet Services DIV/CIV and CAD
Internal,1,MACHINIST'S HELPER,Building Operations & Maintenance,F,32.7,38.05,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
External,1,MACHINIST'S HELPER,Building Operations & Maintenance,F,32.7,38.05,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
Internal,1,Forestry Program Manager,"Engineering, Architecture, & Planning",F,90000,110000,Annual,"71 Smith Avenue, Kingston, Ny",IBM Complex
External,1,Forestry Program Manager,"Engineering, Architecture, & Planning",F,90000,110000,Annual,"71 Smith Avenue, Kingston, Ny",IBM Complex
External,1,"DATA ANALYST, BUSINESS OPERATIONS",Constituent Services & Community Programs,F,52524,65000,Annual,110 William St. N Y,Business Center Operations
Internal,1,"DATA ANALYST, BUSINESS OPERATIONS",Constituent Services & Community Programs,F,52524,65000,Annual,110 William St. N Y,Business Center Operations
Internal,1,Senior Counsel,Legal Affairs,F,90000,115000,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,Supervising Attorney - Equity and Inclusion,Legal Affairs,,66326,76275,Annual,"31-00 47 Ave, 3 FL, LIC NY",Prosecution Division
Internal,1,Supervising Attorney - Equity and Inclusion,Legal Affairs,,66326,76275,Annual,"31-00 47 Ave, 3 FL, LIC NY",Prosecution Division
Internal,1,MACHINIST'S HELPER,Building Operations & Maintenance,F,32.7,38.05,Hourly,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,1,MACHINIST'S HELPER,Building Operations & Maintenance,F,32.7,38.05,Hourly,"356 Flushing Ave, Brooklyn",Central Brookly City Operation
External,91,CARETAKER J,Building Operations & Maintenance,F,29636,43079,Annual,Operations-EVP,Office of EVP - Operations
Internal,91,CARETAKER J,Building Operations & Maintenance,F,29636,43079,Annual,Operations-EVP,Office of EVP - Operations
External,1,NYC 15/15 Project Manager,Constituent Services & Community Programs,F,65783,75651,Annual,100 Gold Street,NYC 15 Program
Internal,1,NYC 15/15 Project Manager,Constituent Services & Community Programs,F,65783,75651,Annual,100 Gold Street,NYC 15 Program
Internal,1,"Outcome Specialist, Contract Development & Validation",Constituent Services & Community Programs,F,58440,69000,Annual,"2 Lafayette St., N.Y.",Community Development Operati
Internal,2,Program Executive,"Engineering, Architecture, & Planning",,52137,144413,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Arch
External,2,Program Executive,"Engineering, Architecture, & Planning",,52137,144413,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Arch
Internal,1,Agency Attorney,Legal Affairs,F,66326,82377,Annual,"33 Beaver St, New York Ny",MVEP/Gen'l Counsel
External,1,Agency Attorney,Legal Affairs,F,66326,82377,Annual,"33 Beaver St, New York Ny",MVEP/Gen'l Counsel
External,1,Civil Engineer III,"Engineering, Architecture, & Planning",F,87490,100613,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,1,Civil Engineer III,"Engineering, Architecture, & Planning",F,87490,100613,Annual,96-05 Horace Harding Expway,Blue Belt Unit
External,1,"Supervisor, Sewer Resilience Planning","Engineering, Architecture, & Planning",F,78210,89942,Annual,59-17 Junction Blvd Corona Ny,Blue Belt Unit
Internal,1,"Supervisor, Sewer Resilience Planning","Engineering, Architecture, & Planning",F,78210,89942,Annual,59-17 Junction Blvd Corona Ny,Blue Belt Unit
Internal,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
External,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
Internal,2,MACHINIST,Building Operations & Maintenance,F,34.63,40.3,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
External,2,MACHINIST,Building Operations & Maintenance,F,34.63,40.3,Hourly,59-17 Junction Blvd Corona Ny,Truck Main Maintenance
External,1,"Executive Receptionist, Office of the Commissioner",Health,F,35330,46222.92,Annual,42-09 28th Street,Commissioners Office
Internal,1,"Executive Receptionist, Office of the Commissioner",Health,F,35330,46222.92,Annual,42-09 28th Street,Commissioners Office
Internal,3,Gardener,Building Operations & Maintenance,F,42146,60659,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
External,3,Gardener,Building Operations & Maintenance,F,42146,60659,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
Internal,2,Community Associate,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",,52000,61936,Annual,Visual Assessment/Remediation,Lead Hazard Control Department
External,2,Community Associate,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",,52000,61936,Annual,Visual Assessment/Remediation,Lead Hazard Control Department
Internal,1,Permit Manager,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,44116,66754,Annual,96-05 Horace Harding Expway,Water Quality Unit
External,1,Permit Manager,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,44116,66754,Annual,96-05 Horace Harding Expway,Water Quality Unit
External,1,Associate Public Health Sanitarian 1,"Health Public Safety, Inspections, & Enforcement",F,58677,91199,Annual,96-05 Horace Harding Expway,Environmental Health/Safety
Internal,1,Associate Public Health Sanitarian 1,"Health Public Safety, Inspections, & Enforcement",F,58677,91199,Annual,96-05 Horace Harding Expway,Environmental Health/Safety
Internal,1,"Director, Lead Hazard Control Department","Public Safety, Inspections, & Enforcement",,78574,202744,Annual,Lead Hazard - Office of Dir,Lead Hazard Control Department
External,1,"Director, Lead Hazard Control Department","Public Safety, Inspections, & Enforcement",,78574,202744,Annual,Lead Hazard - Office of Dir,Lead Hazard Control Department
Internal,1,Director of Security,"Public Safety, Inspections, & Enforcement",F,56990,115000,Annual,"150 William Street, New York N",Facilities (Admin)
External,1,Director of Security,"Public Safety, Inspections, & Enforcement",F,56990,115000,Annual,"150 William Street, New York N",Facilities (Admin)
Internal,10,City Seasonal Aide,Administration & Human Resources,F,15,18.77,Hourly,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,10,City Seasonal Aide,Administration & Human Resources,F,15,18.77,Hourly,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,Forensic Mortuary Technician I,Health,,40899,53082,Annual,421 East 26th Street NY NY,OCME-Operations
Internal,1,Forensic Mortuary Technician I,Health,,40899,53082,Annual,421 East 26th Street NY NY,OCME-Operations
External,4,City Mortuary Technician,Health,F,37681,49291,Annual,"520 1St Ave., N.Y.",OCME-Operations
Internal,4,City Mortuary Technician,Health,F,37681,49291,Annual,"520 1St Ave., N.Y.",OCME-Operations
External,2,Medical Examiner Assistant,Health,F,53657,72816,Annual,421 East 26th Street NY NY,OCME-Operations
Internal,2,Medical Examiner Assistant,Health,F,53657,72816,Annual,421 East 26th Street NY NY,OCME-Operations
Internal,1,Administrative Associate,Administration & Human Resources Constituent Services & Community Programs,F,50000,60000,Annual,"120 Broadway, New York, NY",Zoning
Internal,1,BUDGET ANALYST,"Administration & Human Resources Finance, Accounting, & Procurement",,80000,80000,Annual,"100 Church St., N.Y.",Admin Services
External,1,Deputy Chief - Enforcement,"Public Safety, Inspections, & Enforcement",F,56990,86913,Annual,24-55 Bklyn Qns Expy Woodside,Enforcement Inspector
Internal,1,Deputy Chief - Enforcement,"Public Safety, Inspections, & Enforcement",F,56990,86913,Annual,24-55 Bklyn Qns Expy Woodside,Enforcement Inspector
External,1,Deputy Director of Fitness Review Unit,Legal Affairs,F,66326,82000,Annual,"31-00 47 Ave, 3 FL, LIC NY",Fitness Review Unit (FRU)
Internal,1,Deputy Director of Fitness Review Unit,Legal Affairs,F,66326,82000,Annual,"31-00 47 Ave, 3 FL, LIC NY",Fitness Review Unit (FRU)
External,1,Policy Analyst- Data,"Policy, Research & Analysis",F,48000,52524,Annual,"33 Beaver St, New York Ny",Office of Data & Technology
Internal,1,Policy Analyst- Data,"Policy, Research & Analysis",F,48000,52524,Annual,"33 Beaver St, New York Ny",Office of Data & Technology
External,1,"Chief Communications Officer, Office of the Commissioner",Health,F,56990,125000,Annual,42-09 28th Street,Commissioners Office
Internal,1,"Chief Communications Officer, Office of the Commissioner",Health,F,56990,125000,Annual,42-09 28th Street,Commissioners Office
External,1,Assistant General Counsel,Legal Affairs,F,58716,70000,Annual,"33 Beaver St, New York Ny",Legal Affairs
Internal,1,Assistant General Counsel,Legal Affairs,F,58716,70000,Annual,"33 Beaver St, New York Ny",Legal Affairs
External,1,FMS ARCHITECT/DEVELOPER,"Technology, Data & Innovation",F,75000,115000,Annual,5 Manhattan West,OPS/FS/Technical Systems
Internal,1,FMS ARCHITECT/DEVELOPER,"Technology, Data & Innovation",F,75000,115000,Annual,5 Manhattan West,OPS/FS/Technical Systems
External,1,Budget Analyst,"Finance, Accounting, & Procurement",F,55416,74479,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
Internal,1,Budget Analyst,"Finance, Accounting, & Procurement",F,55416,74479,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
Internal,2,Radio Room Operator,"Public Safety, Inspections, & Enforcement",F,38923,52445,Annual,24-55 Bklyn Qns Expy Woodside,Enforcement Admin
External,2,Radio Room Operator,"Public Safety, Inspections, & Enforcement",F,38923,52445,Annual,24-55 Bklyn Qns Expy Woodside,Enforcement Admin
Internal,1,Analyst Sanitation,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,60660,77115,Annual,255 Greenwich Street,Fire & Sanitation
External,1,Analyst Sanitation,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,60660,77115,Annual,255 Greenwich Street,Fire & Sanitation
Internal,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,37796,43465,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur
External,1,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,37796,43465,Annual,96-05 Horace Harding Expway,Div of Field Op/Quality Assur
Internal,8,Dockbuilder,Building Operations & Maintenance,F,386.8,386.8,Daily,"1 Bay St., S.I.,Ny",F&Ga-Dockbuilders
External,8,Dockbuilder,Building Operations & Maintenance,F,386.8,386.8,Daily,"1 Bay St., S.I.,Ny",F&Ga-Dockbuilders
Internal,1,"Staten Island Inspector, Bluebelt Construction & Performance","Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,78210,89942,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
External,1,"Staten Island Inspector, Bluebelt Construction & Performance","Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,78210,89942,Annual,"182 Joline Ave, Staten Isl",Blue Belt Unit
Internal,2,Union Deduction Analyst,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,58152,74479,Annual,5 Manhattan West,Union Services
Internal,1,Mediation Coordinator,"Public Safety, Inspections, & Enforcement",F,41061,41061,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
External,1,Mediation Coordinator,"Public Safety, Inspections, & Enforcement",F,41061,41061,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,Mediation Coordinator,"Public Safety, Inspections, & Enforcement",F,41061,41061,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
External,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,96-05 Horace Harding Expway,Chief Deputies Prj Engrs Sec
Internal,1,Technical Project Manager,"Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,Technical Project Manager,"Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,"Manager, Applications Support","Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
Internal,1,"Manager, Applications Support","Technology, Data & Innovation",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,Daytime Nurse Practitioner,Health,F,69940,133327,Annual,"150 William Street, New York N",Office Of Chld & Fmly Health
Internal,1,Daytime Nurse Practitioner,Health,F,69940,133327,Annual,"150 William Street, New York N",Office Of Chld & Fmly Health
Internal,4,Investigative Consultant Level II,"Public Safety, Inspections, & Enforcement Social Services",F,59370,74672,Annual,"150 William Street, New York N",Spec Advisor For Invstgtion-Cr
External,4,Investigative Consultant Level II,"Public Safety, Inspections, & Enforcement Social Services",F,59370,74672,Annual,"150 William Street, New York N",Spec Advisor For Invstgtion-Cr
External,1,PROJECT MANAGER,Building Operations & Maintenance,F,55416,83151,Annual,"52-35 58Th St., Woodside, Ny",BBM Material Management
Internal,1,PROJECT MANAGER,Building Operations & Maintenance,F,55416,83151,Annual,"52-35 58Th St., Woodside, Ny",BBM Material Management
External,1,Record Management Officer,"Technology, Data & Innovation",F,59678,85304,Annual,59-17 Junction Blvd Corona Ny,Records and Archive Management
Internal,1,Record Management Officer,"Technology, Data & Innovation",F,59678,85304,Annual,59-17 Junction Blvd Corona Ny,Records and Archive Management
External,1,SUPERVISING ATTORNEY,Legal Affairs,F,56990,95000,Annual,"22 Reade St, Ny",Law Enforc.Bureau Executive
Internal,1,SUPERVISING ATTORNEY,Legal Affairs,F,56990,95000,Annual,"22 Reade St, Ny",Law Enforc.Bureau Executive
Internal,2,Construction Project Manager,"Engineering, Architecture, & Planning",F,55416,83151,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
External,2,Construction Project Manager,"Engineering, Architecture, & Planning",F,55416,83151,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
External,19,Cook,"Public Safety, Inspections, & Enforcement",F,34096,38528,Annual,Rikers Island,Nutritional Services
Internal,19,Cook,"Public Safety, Inspections, & Enforcement",F,34096,38528,Annual,Rikers Island,Nutritional Services
External,1,Assistant Environmental Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
Internal,1,Assistant Environmental Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
External,1,Special Assistant to the Office of the Executive Deputy Commissioner,"Health Policy, Research & Analysis",F,62272,68499,Annual,42-09 28th Street,Executive Deputy Com
Internal,1,Special Assistant to the Office of the Executive Deputy Commissioner,"Health Policy, Research & Analysis",F,62272,68499,Annual,42-09 28th Street,Executive Deputy Com
External,1,Full Stack LAMP Developer,"Technology, Data & Innovation",F,82008,95000,Annual,"120 Broadway, New York, NY",ITD- Application Development
Internal,1,Full Stack LAMP Developer,"Technology, Data & Innovation",F,82008,95000,Annual,"120 Broadway, New York, NY",ITD- Application Development
External,1,"Supervising Physician, Bureau of School Health",Health,F,73.37,78.59,Hourly,"1 Court Square, Queens",SH Medical
Internal,1,"Supervising Physician, Bureau of School Health",Health,F,73.37,78.59,Hourly,"1 Court Square, Queens",SH Medical
External,1,Topographical Unit,"Engineering, Architecture, & Planning",F,37217,61936,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
Internal,1,Topographical Unit,"Engineering, Architecture, & Planning",F,37217,61936,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
Internal,1,Senior Program Manager,Constituent Services & Community Programs Social Services,F,58440,70000,Annual,161 William St  New York N Y,SYEP
External,1,Topographical,"Engineering, Architecture, & Planning",,37796,49035,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
Internal,1,Topographical,"Engineering, Architecture, & Planning",,37796,49035,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
External,2,DATA CENTER SYSTEM ADMINISTRATORS,"Technology, Data & Innovation",F,59680,68632,Annual,75-20 Astoria Blvd,Information Systems-Admin
Internal,2,DATA CENTER SYSTEM ADMINISTRATORS,"Technology, Data & Innovation",F,59680,68632,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,Business Intelligence Analyst,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,57000,61560,Annual,24-55 Bklyn Qns Expy Woodside,Exec. Office USB
Internal,1,Business Intelligence Analyst,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,57000,61560,Annual,24-55 Bklyn Qns Expy Woodside,Exec. Office USB
External,1,MEDICOLEGAL ANALYST,Health Legal Affairs,F,61950,81801,Annual,"100 Church St., N.Y.",Tort: New York
Internal,1,MEDICOLEGAL ANALYST,Health Legal Affairs,F,61950,81801,Annual,"100 Church St., N.Y.",Tort: New York
Internal,49,Caretaker I,"Finance, Accounting, & Procurement",F,0,43079,Annual,Brooklyn Storage Management,Materials Mgmt Dept
Internal,1,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",Health,F,86194,86194,Annual,42-09 28th Street,MIRH Nurse Family Partnership
External,1,"Bilingual NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",Health,F,86194,86194,Annual,42-09 28th Street,MIRH Nurse Family Partnership
External,1,IT NETWORK MANAGER,"Technology, Data & Innovation Policy, Research & Analysis",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
Internal,1,IT NETWORK MANAGER,"Technology, Data & Innovation Policy, Research & Analysis",F,100000,120000,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,Environmental Health & Safety Regional Manager,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,"465 Columbus Ave. Valhalla, Ny",I.F.A.-Sources Construction
Internal,1,Environmental Health & Safety Regional Manager,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,87490,118610,Annual,"465 Columbus Ave. Valhalla, Ny",I.F.A.-Sources Construction
External,1,"CATCH School Nurse, Bureau of School Health",Health,P,40.79,40.79,Hourly,160 West 100Th Street Ny,SH Reproductive Health
Internal,1,"CATCH School Nurse, Bureau of School Health",Health,P,40.79,40.79,Hourly,160 West 100Th Street Ny,SH Reproductive Health
Internal,1,Senior Project Manager,"Engineering, Architecture, & Planning",F,65783,95270,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various
External,1,Senior Project Manager,"Engineering, Architecture, & Planning",F,65783,95270,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/Various
Internal,1,Strategic Initiatives Analyst,"Policy, Research & Analysis",F,50000,54000,Annual,"33 Beaver St, New York Ny",Executive Staff
External,1,Strategic Initiatives Analyst,"Policy, Research & Analysis",F,50000,54000,Annual,"33 Beaver St, New York Ny",Executive Staff
Internal,1,TIMEKEEPER,Administration & Human Resources,F,55590,75000,Annual,5 Manhattan West,Adm/Human Resources & Training
External,1,Electrical Engineer,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
Internal,1,Electrical Engineer,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
Internal,6,AUTO MECHANIC,Building Operations & Maintenance,P,34.63,40.3,Hourly,"52-35 58Th St., Woodside, Ny",Motor Equipment Office
External,6,AUTO MECHANIC,Building Operations & Maintenance,P,34.63,40.3,Hourly,"52-35 58Th St., Woodside, Ny",Motor Equipment Office
External,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
Internal,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway,Program Management
External,1,Community Associate,Constituent Services & Community Programs Legal Affairs Social Services,F,37217,61936,Annual,"2 Lafayette St., N.Y.",Assigned Counsel Project
Internal,1,Engineering,"Engineering, Architecture, & Planning",F,65783,95270,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
External,1,Engineering,"Engineering, Architecture, & Planning",F,65783,95270,Annual,"120-55 Queens Blvd, Queens Ny",Borough President - Queens
Internal,1,INVESTIGATOR,Health,F,40275,64307,Annual,"44 Beaver St., N.Y.",Medical Office
External,1,INVESTIGATOR,Health,F,40275,64307,Annual,"44 Beaver St., N.Y.",Medical Office
External,1,ASBESTOS HAZARD INVESTIGATOR,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",,52825,79267,Annual,Tech Svcs-CSS,Technical Services Department
Internal,1,Director of Upstate Operations,"Technology, Data & Innovation",F,55590,150371,Annual,"71 Smith Avenue, Kingston, Ny",OIT / BWS
External,1,Director of Upstate Operations,"Technology, Data & Innovation",F,55590,150371,Annual,"71 Smith Avenue, Kingston, Ny",OIT / BWS
Internal,70,"Public Health Nurse, Bureau of School Health",Health,P,40.79,40.79,Hourly,NYC - All Boroughs,SH Nursing Services & Prof Dev
External,70,"Public Health Nurse, Bureau of School Health",Health,P,40.79,40.79,Hourly,NYC - All Boroughs,SH Nursing Services & Prof Dev
Internal,1,Deputy Agency Chief Contracting Officer (DACCO),"Finance, Accounting, & Procurement",F,105000,120000,Annual,75-20 Astoria Blvd,Financial Systems
Internal,1,Deputy Agency Chief Contracting Officer (DACCO),"Finance, Accounting, & Procurement",F,105000,120000,Annual,75-20 Astoria Blvd,Financial Systems
External,1,IT Systems Support Engineer,"Technology, Data & Innovation Policy, Research & Analysis",F,89509,102936,Annual,"1 Centre Street Ny, Ny",Board Staff
Internal,1,IT Systems Support Engineer,"Technology, Data & Innovation Policy, Research & Analysis",F,89509,102936,Annual,"1 Centre Street Ny, Ny",Board Staff
Internal,1,Payment Analyst,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,48399,78211,Annual,96-05 Horace Harding Expway,Capital Program Unit
External,1,Payment Analyst,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,48399,78211,Annual,96-05 Horace Harding Expway,Capital Program Unit
Internal,1,"Data Analyst, PNA","Policy, Research & Analysis",F,72476,106222,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept
External,1,"Data Analyst, PNA","Policy, Research & Analysis",F,72476,106222,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept
External,4,Construction Project Manager,"Health Building Operations & Maintenance Public Safety, Inspections, & Enforcement",,65783,95270,Annual,Mold ASMT & Remediation-DIR,Mold Asmt & Remediation
Internal,4,Construction Project Manager,"Health Building Operations & Maintenance Public Safety, Inspections, & Enforcement",,65783,95270,Annual,Mold ASMT & Remediation-DIR,Mold Asmt & Remediation
External,18,Exterminator,Building Operations & Maintenance,F,33036,48183,Annual,Prevention & Intervention-DIR,Prevention & Intervention Stra
Internal,18,Exterminator,Building Operations & Maintenance,F,33036,48183,Annual,Prevention & Intervention-DIR,Prevention & Intervention Stra
External,3,Architect,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
Internal,3,Architect,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
Internal,2,Mechanical Engineer,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
External,2,Mechanical Engineer,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns,Pub Bldgs/A&E-Bldg Assess
Internal,1,Division Chief of Engineering,"Engineering, Architecture, & Planning",F,69940,186555,Annual,96-05 Horace Harding Expway,Capital Planning
External,1,Division Chief of Engineering,"Engineering, Architecture, & Planning",F,69940,186555,Annual,96-05 Horace Harding Expway,Capital Planning
Internal,1,AGENCY COUNSEL,Legal Affairs,,58716,80000,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,AGENCY COUNSEL,Legal Affairs,,58716,80000,Annual,59-17 Junction Blvd Corona Ny,Counsels Office
External,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,96-05 Horace Harding Expway,EDC - Water For The Future
Internal,1,ACCOUNTABLE MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,63031,168433,Annual,96-05 Horace Harding Expway,EDC - Water For The Future
Internal,1,DIRECTOR OF DATA ANALYTICS AND RESEARCH,"Policy, Research & Analysis",,91537,105268,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,DIRECTOR OF DATA ANALYTICS AND RESEARCH,"Policy, Research & Analysis",,91537,105268,Annual,75-20 Astoria Blvd,Information Systems-Admin
External,1,Administrative Coordinator,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",F,37217,61936,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,Administrative Coordinator,"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",F,37217,61936,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
Internal,1,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,69618,96898,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
