Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,4,Hudson Valley Region, 25-2051," Special Education Teachers, Preschool",540,67370,61490,52030,75040
10,8,North Country Region, 43-6011,Executive Secretaries and Executive Administrative Assistants,460,53190,52380,35580,62000
10,4,Hudson Valley Region, 25-4012, Curators,n/a,63630,63310,48330,71290
10,7,New York City Region, 43-4171, Receptionists and Information Clerks,39690,34710,32950,24960,39620
10,6,Mohawk Valley Region, 43-9021, Data Entry Keyers,160,34140,33300,26510,37950
10,9,Southern Tier Region, 25-1113," Social Work Teachers, Postsecondary",110,96250,79980,51190,118780
10,6,Mohawk Valley Region, 29-1069," Physicians and Surgeons, All Other",740,248980,,137240,304850
10,4,Hudson Valley Region, 17-1022, Surveyors,n/a,65940,58970,42420,77700
10,6,Mohawk Valley Region, 33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,90,76070,74960,59480,84360
10,9,Southern Tier Region, 39-5092, Manicurists and Pedicurists,100,26280,22620,21632,29020
10,10,Western New York Region, 43-5051, Postal Service Clerks,390,48620,44160,37040,54410
10,8,North Country Region, 13-2031, Budget Analysts,50,69270,67160,52880,77460
10,8,North Country Region, 13-1161,Market Research Analysts and Marketing Specialists,200,55720,46150,34700,66220
10,5,Long Island Region, 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1930,62410,60350,44390,71430
10,10,Western New York Region, 33-2011, Firefighters,870,67750,70260,54040,74600
10,1,Capital Region, 11-9131,Postmasters and Mail Superintendents,100,77610,76290,64580,84120
10,8,North Country Region, 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",110,33330,31310,28030,35980
10,8,North Country Region, 25-2032,"Career/Technical Education Teachers, Secondary School",440,59780,57780,45120,67120
10,3,Finger Lakes Region, 51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",490,41230,39980,30840,46430
10,9,Southern Tier Region, 53-3041, Taxi Drivers and Chauffeurs,380,25840,23710,21632,28010
10,9,Southern Tier Region, 39-9032, Recreation Workers,640,29660,25200,22020,33480
10,7,New York City Region, 11-9199," Managers, All Other",7780,146880,129630,78380,181130
10,2,Central New York Region, 13-1071, Human Resources Specialists,980,67390,64030,45560,78300
10,7,New York City Region, 53-1011, Aircraft Cargo Handling Supervisors,n/a,50860,45340,36350,58110
10,8,North Country Region, 21-2011, Clergy,180,41120,30570,21640,50860
10,5,Long Island Region, 51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",440,36630,34950,25880,42000
10,6,Mohawk Valley Region, 25-1121," Art, Drama, and Music Teachers, Postsecondary",290,82330,72220,46190,100410
1,36,New York State, 45-4029," Logging Workers, All Other",n/a,32540,29730,22920,37350
10,9,Southern Tier Region, 51-2041, Structural Metal Fabricators and Fitters,130,45470,40800,32190,52110
1,36,New York State, 29-2021, Dental Hygienists,11050,78060,78710,58110,88040
10,4,Hudson Valley Region, 53-2012, Commercial Pilots,n/a,101210,92630,61860,120880
10,4,Hudson Valley Region, 39-9021, Personal Care Aides,16560,29520,28180,23210,32670
10,10,Western New York Region, 23-0000,Legal Occupations,5060,93480,77510,44750,117840
10,1,Capital Region, 53-7064," Packers and Packagers, Hand",1050,33170,30970,22660,38430
10,3,Finger Lakes Region, 49-2092," Electric Motor, Power Tool, and Related Repairers",n/a,32040,25910,21632,37760
10,3,Finger Lakes Region, 35-3041," Food Servers, Nonrestaurant",1130,23430,22080,21632,24660
10,2,Central New York Region, 51-9022," Grinding and Polishing Workers, Hand",100,33690,33230,25910,37570
10,10,Western New York Region, 35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",19580,22690,21632,21632,23560
10,1,Capital Region, 45-4021, Fallers,n/a,40780,40600,31860,45230
10,3,Finger Lakes Region, 39-2011, Animal Trainers,70,36750,38010,22960,43640
10,10,Western New York Region, 51-7011, Cabinetmakers and Bench Carpenters,310,40790,40710,31100,45640
10,6,Mohawk Valley Region, 49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",350,41270,40770,31190,46310
10,7,New York City Region, 53-7199," Material Moving Workers, All Other",640,46570,47690,38180,50770
1,36,New York State, 53-6031, Automotive and Watercraft Service Attendants,5320,24970,23380,21632,26830
10,2,Central New York Region, 33-2011, Firefighters,140,55590,57540,38370,64200
10,9,Southern Tier Region, 51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",60,38310,34740,26060,44430
10,4,Hudson Valley Region, 17-3019," Drafters, All Other",n/a,65840,65560,44550,76490
10,4,Hudson Valley Region, 47-2022, Stonemasons,n/a,34430,31520,25470,38910
10,3,Finger Lakes Region, 25-2051," Special Education Teachers, Preschool",150,57650,52360,43110,64920
10,2,Central New York Region, 43-9071," Office Machine Operators, Except Computer",220,28870,28310,22820,31890
1,36,New York State, 27-1024, Graphic Designers,21530,65830,60650,37610,79940
10,2,Central New York Region, 25-1071," Health Specialties Teachers, Postsecondary",n/a,124820,101220,56430,159020
10,5,Long Island Region, 43-9199,"Office and Administrative Support Workers, All Other",780,49450,48080,32560,57900
10,5,Long Island Region, 43-4011, Brokerage Clerks,420,61790,57780,40100,72640
10,7,New York City Region, 25-1121," Art, Drama, and Music Teachers, Postsecondary",5420,109450,92500,54770,136790
10,6,Mohawk Valley Region, 13-1041, Compliance Officers,400,56380,55410,42490,63320
10,3,Finger Lakes Region, 23-2099," Legal Support Workers, All Other",50,68530,56700,36620,84480
10,6,Mohawk Valley Region, 13-1081, Logisticians,n/a,72520,64920,55120,81230
10,3,Finger Lakes Region, 47-4071, Septic Tank Servicers and Sewer Pipe Cleaners,50,37390,35010,25490,43330
10,2,Central New York Region, 27-3041, Editors,170,64060,54790,34010,79080
10,6,Mohawk Valley Region, 41-9041, Telemarketers,n/a,29880,24670,22320,33670
10,8,North Country Region, 49-0000,"Installation, Maintenance, and Repair Occupations",6920,46780,43050,28770,55790
10,9,Southern Tier Region, 29-2081," Opticians, Dispensing",100,40680,41710,24860,48590
10,2,Central New York Region, 53-2012, Commercial Pilots,n/a,98040,91590,57670,118230
10,6,Mohawk Valley Region, 27-1011, Art Directors,n/a,101730,88200,45870,129670
10,6,Mohawk Valley Region, 49-9099,"Installation, Maintenance, and Repair Workers, All Other",180,44000,46150,26880,52560
10,6,Mohawk Valley Region, 47-2211, Sheet Metal Workers,n/a,55140,57650,42280,61560
10,3,Finger Lakes Region, 29-2021, Dental Hygienists,910,63120,61770,56800,66270
1,36,New York State, 43-9021, Data Entry Keyers,12180,36450,34420,25510,41920
10,6,Mohawk Valley Region, 25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",60,76940,85260,50550,90140
10,2,Central New York Region, 27-1027, Set and Exhibit Designers,n/a,33280,28250,21760,39030
10,1,Capital Region, 25-2011," Preschool Teachers, Except Special Education",1610,32320,26170,22470,37240
10,1,Capital Region, 53-6031, Automotive and Watercraft Service Attendants,340,26060,25120,22710,27740
10,1,Capital Region, 49-3051, Motorboat Mechanics and Service Technicians,90,41510,40470,30060,47230
10,5,Long Island Region, 21-1023, Mental Health and Substance Abuse Social Workers,1200,61340,59790,44170,69920
10,7,New York City Region, 13-1121," Meeting, Convention, and Event Planners",6630,70830,62250,42380,85050
10,2,Central New York Region, 27-2021, Athletes and Sports Competitors,n/a,35980,34570,21860,43040
10,1,Capital Region, 43-5031," Police, Fire, and Ambulance Dispatchers",350,47950,47790,35720,54060
10,2,Central New York Region, 11-3021, Computer and Information Systems Managers,510,141880,131160,98040,163800
10,7,New York City Region, 47-2044, Tile and Marble Setters,n/a,90490,95790,65530,102960
10,6,Mohawk Valley Region, 43-3071, Tellers,680,27230,26140,22990,29350
10,5,Long Island Region, 41-1012,First-Line Supervisors of Non-Retail Sales Workers,2570,104120,91670,59690,126340
10,6,Mohawk Valley Region, 39-9041, Residential Advisors,1000,25960,24240,22140,27870
10,10,Western New York Region, 19-1013, Soil and Plant Scientists,n/a,61290,60150,37970,72950
10,10,Western New York Region, 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1150,37040,36570,27660,41730
10,10,Western New York Region, 29-1022, Oral and Maxillofacial Surgeons,110,237830,,131870,290810
10,10,Western New York Region, 51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",280,33400,31860,25610,37290
10,3,Finger Lakes Region, 47-2131," Insulation Workers, Floor, Ceiling, and Wall",n/a,33370,32400,24600,37750
10,10,Western New York Region, 25-2059," Special Education Teachers, All Other",n/a,54610,49590,41600,61120
10,10,Western New York Region, 43-4051, Customer Service Representatives,12980,36940,34630,25310,42760
10,6,Mohawk Valley Region, 51-3021, Butchers and Meat Cutters,130,34900,33970,22910,40890
10,5,Long Island Region, 19-1012, Food Scientists and Technologists,n/a,62950,57450,35200,76820
10,4,Hudson Valley Region, 29-9099,"Healthcare Practitioners and Technical Workers, All Other",n/a,72850,72720,28230,95160
10,9,Southern Tier Region, 33-9099," Protective Service Workers, All Other",660,23560,21632,21632,24940
10,3,Finger Lakes Region, 15-1133," Software Developers, Systems Software",2310,97870,97690,68330,112640
10,4,Hudson Valley Region, 39-2021, Nonfarm Animal Caretakers,2130,30140,24760,21632,34410
1,36,New York State, 51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",620,32550,29850,23590,37040
10,2,Central New York Region, 49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,960,45810,44840,33630,51900
10,9,Southern Tier Region, 21-1092,Probation Officers and Correctional Treatment Specialists,200,62940,62870,49760,69540
10,5,Long Island Region, 51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",n/a,30670,29770,22880,35170
10,1,Capital Region, 51-9081, Dental Laboratory Technicians,80,36940,36190,22170,44330
10,3,Finger Lakes Region, 21-2021," Directors, Religious Activities and Education",270,43120,37010,23760,52800
10,1,Capital Region, 27-3091, Interpreters and Translators,150,55620,55400,37160,64840
10,7,New York City Region, 17-2061, Computer Hardware Engineers,320,128510,133120,90900,147320
1,36,New York State, 15-1131, Computer Programmers,16420,90640,83470,55340,108300
10,3,Finger Lakes Region, 53-7021, Crane and Tower Operators,50,65980,71410,46570,75680
10,4,Hudson Valley Region, 53-2022, Airfield Operations Specialists,n/a,53680,49940,38340,61340
10,9,Southern Tier Region, 29-1199,"Health Diagnosing and Treating Practitioners, All Other",n/a,74160,83450,42880,89800
10,3,Finger Lakes Region, 35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1930,22880,22040,21632,23830
10,5,Long Island Region, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",610,78660,65440,41480,97260
10,5,Long Island Region, 43-3021, Billing and Posting Clerks,7450,45410,45220,32970,51630
1,36,New York State, 47-2044, Tile and Marble Setters,2570,76800,78770,43040,93680
10,8,North Country Region, 43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",n/a,34130,33950,27580,37400
10,7,New York City Region, 27-1026, Merchandise Displayers and Window Trimmers,2930,39010,32740,24970,46040
1,36,New York State, 43-4041," Credit Authorizers, Checkers, and Clerks",1610,48850,47260,34100,56220
10,1,Capital Region, 29-2010,Clinical Laboratory Technologists and Technicians,1340,52800,53790,33510,62440
10,4,Hudson Valley Region, 41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",7000,76570,60420,32440,98630
10,3,Finger Lakes Region, 15-1121, Computer Systems Analysts,2730,80140,76840,52980,93720
10,9,Southern Tier Region, 49-9051, Electrical Power-Line Installers and Repairers,330,86840,90630,70680,94920
10,10,Western New York Region, 51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",130,31290,30030,23810,35040
10,6,Mohawk Valley Region, 13-1121," Meeting, Convention, and Event Planners",120,53220,43170,28940,65360
1,36,New York State, 43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",187490,41140,40350,27810,47810
1,36,New York State, 49-9094, Locksmiths and Safe Repairers,1070,51330,48910,31970,61000
10,10,Western New York Region, 31-1011, Home Health Aides,4220,28750,25930,23120,31570
1,36,New York State, 43-3061, Procurement Clerks,3910,44720,44570,31550,51310
10,2,Central New York Region, 47-2073,Operating Engineers and Other Construction Equipment Operators,640,76060,64350,43320,92430
10,3,Finger Lakes Region, 17-3026, Industrial Engineering Technicians,590,52570,52210,38020,59850
10,1,Capital Region, 19-2043, Hydrologists,n/a,87380,83630,62050,100050
1,36,New York State, 53-3021," Bus Drivers, Transit and Intercity",21830,60840,67390,39540,71490
10,2,Central New York Region, 43-5031," Police, Fire, and Ambulance Dispatchers",260,42970,44150,34340,47280
10,10,Western New York Region, 39-9011, Childcare Workers,3150,24430,22830,21632,26030
10,2,Central New York Region, 29-1066, Psychiatrists,60,204950,195580,139330,237760
10,2,Central New York Region, 25-1063," Economics Teachers, Postsecondary",110,95170,80060,56390,114560
10,6,Mohawk Valley Region, 17-2072," Electronics Engineers, Except Computer",190,113490,119460,76150,132170
10,7,New York City Region, 13-2011, Accountants and Auditors,67470,105880,91610,59430,129100
10,9,Southern Tier Region, 31-9096,Veterinary Assistants and Laboratory Animal Caretakers,260,32450,29310,23040,37160
10,7,New York City Region, 21-1091, Health Educators,2590,60580,55220,41390,70180
1,36,New York State, 11-2011, Advertising and Promotions Managers,5870,176100,159460,90720,218780
10,4,Hudson Valley Region, 35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,3860,25690,21632,21632,28140
10,9,Southern Tier Region, 49-9099,"Installation, Maintenance, and Repair Workers, All Other",150,41870,41090,28780,48420
10,1,Capital Region, 49-3041, Farm Equipment Mechanics and Service Technicians,60,43280,41760,31320,49260
1,36,New York State, 25-1054," Physics Teachers, Postsecondary",1410,123320,106450,61430,154270
10,5,Long Island Region, 17-2072," Electronics Engineers, Except Computer",770,100570,96210,73500,114110
10,1,Capital Region, 43-3031," Bookkeeping, Accounting, and Auditing Clerks",7000,41720,40260,29450,47850
10,9,Southern Tier Region, 29-2055, Surgical Technologists,190,46520,44140,33220,53170
10,1,Capital Region, 27-4031,"Camera Operators, Television, Video, and Motion Picture",n/a,33500,32070,24870,37820
1,36,New York State, 23-2099," Legal Support Workers, All Other",2610,62420,56430,35150,76050
10,1,Capital Region, 45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",110,27440,24990,22250,30040
10,3,Finger Lakes Region, 29-1123, Physical Therapists,1100,77760,75510,61370,85960
10,10,Western New York Region, 43-9199,"Office and Administrative Support Workers, All Other",450,35430,32280,26000,40140
10,2,Central New York Region, 51-2028,,1290,31070,28520,22510,35340
10,8,North Country Region, 25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",n/a,77430,55420,36030,98120
10,3,Finger Lakes Region, 29-1181, Audiologists,120,86450,85220,57590,100880
1,36,New York State, 25-1123,"English Language and Literature Teachers, Postsecondary",7740,91040,77570,48010,112550
10,3,Finger Lakes Region, 29-2081," Opticians, Dispensing",160,55940,57430,44850,61480
10,6,Mohawk Valley Region, 39-9032, Recreation Workers,430,28760,24090,21632,32600
10,8,North Country Region, 25-2012," Kindergarten Teachers, Except Special Education",210,62310,60700,46480,70230
10,3,Finger Lakes Region, 11-9039," Education Administrators, All Other",n/a,89320,77800,62950,102500
10,2,Central New York Region, 13-2061, Financial Examiners,90,88340,83560,55210,104900
1,36,New York State, 27-3022, Reporters and Correspondents,4240,77780,64010,36110,98620
1,36,New York State, 29-0000,Healthcare Practitioners and Technical Occupations,535900,91760,78070,46210,114530
10,6,Mohawk Valley Region, 17-3013, Mechanical Drafters,60,51860,49390,41840,56870
10,3,Finger Lakes Region, 27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",7090,55500,45610,27580,69460
10,8,North Country Region, 17-2072," Electronics Engineers, Except Computer",n/a,81110,77840,49090,97120
10,7,New York City Region, 35-2011," Cooks, Fast Food",5880,24960,24960,24960,25560
10,8,North Country Region, 33-1099,"First-Line Supervisors of Protective Service Workers, All Other",60,61280,58830,46640,68600
10,10,Western New York Region, 47-2011, Boilermakers,n/a,72160,65150,58500,78990
10,4,Hudson Valley Region, 49-3093, Tire Repairers and Changers,1300,27700,27230,22420,30340
10,4,Hudson Valley Region, 31-1011, Home Health Aides,11670,28210,27090,23200,30720
10,1,Capital Region, 17-1012, Landscape Architects,140,58500,48950,38660,68420
10,6,Mohawk Valley Region, 13-2041, Credit Analysts,n/a,102830,84860,47670,130410
10,10,Western New York Region, 13-2021, Appraisers and Assessors of Real Estate,240,60010,59220,39980,70030
10,1,Capital Region, 49-9062, Medical Equipment Repairers,130,53140,47740,33610,62900
10,5,Long Island Region, 13-1111, Management Analysts,4000,139380,107260,61560,178300
10,6,Mohawk Valley Region, 49-9094, Locksmiths and Safe Repairers,n/a,48410,48490,37750,53740
10,10,Western New York Region, 37-3013, Tree Trimmers and Pruners,60,49780,52160,34280,57530
10,9,Southern Tier Region, 37-0000,Building and Grounds Cleaning and Maintenance Occupations,9420,29170,25670,21830,32840
1,36,New York State, 13-2021, Appraisers and Assessors of Real Estate,2930,65400,58490,38830,78690
10,5,Long Island Region, 43-6011,Executive Secretaries and Executive Administrative Assistants,9850,70970,71660,50680,81110
10,9,Southern Tier Region, 51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",110,39430,38910,28440,44920
1,36,New York State, 29-2081," Opticians, Dispensing",3440,55320,56020,34120,65910
10,1,Capital Region, 49-3093, Tire Repairers and Changers,60,34450,35820,29200,37080
10,5,Long Island Region, 21-0000,Community and Social Service Occupations,17550,57840,52010,30580,71470
10,7,New York City Region, 53-7061, Cleaners of Vehicles and Equipment,7420,42340,43480,24960,52290
10,5,Long Island Region, 39-1021,First-Line Supervisors of Personal Service Workers,2870,47650,46870,31340,55810
10,4,Hudson Valley Region, 29-1066, Psychiatrists,440,202500,184440,126830,240330
10,7,New York City Region, 21-1019," Counselors, All Other",260,54180,50080,34810,63870
10,7,New York City Region, 31-1013, Psychiatric Aides,1650,45570,46440,38120,49300
1,36,New York State, 11-3061, Purchasing Managers,3820,144160,131710,80970,175750
10,10,Western New York Region, 17-3012, Electrical and Electronics Drafters,80,54840,55920,37870,63320
10,7,New York City Region, 53-0000,Transportation and Material Moving Occupations,203180,47210,39410,24960,59030
1,36,New York State, 43-6013, Medical Secretaries,10060,41320,40060,30570,46700
10,1,Capital Region, 25-1052," Chemistry Teachers, Postsecondary",180,85290,78340,45660,105100
1,36,New York State, 51-8092, Gas Plant Operators,330,77720,83620,52380,90390
10,4,Hudson Valley Region, 41-3011, Advertising Sales Agents,630,74090,64650,38090,92090
1,36,New York State, 43-4021, Correspondence Clerks,n/a,44320,44270,32620,50170
10,5,Long Island Region, 31-9093, Medical Equipment Preparers,720,45920,46490,35530,51110
10,6,Mohawk Valley Region, 29-1126, Respiratory Therapists,150,61490,62280,48090,68190
10,1,Capital Region, 15-2031, Operations Research Analysts,240,73870,68590,46290,87660
10,10,Western New York Region, 53-3031, Driver/Sales Workers,1820,28890,22850,21632,32870
10,1,Capital Region, 47-2044, Tile and Marble Setters,100,57250,57490,38370,66690
10,7,New York City Region, 47-2072, Pile-Driver Operators,n/a,112800,123290,87320,125550
10,4,Hudson Valley Region, 49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",120,88330,90270,71590,96700
10,6,Mohawk Valley Region, 51-6099,"Textile, Apparel, and Furnishings Workers, All Other",n/a,38740,34400,23370,46420
10,1,Capital Region, 53-7063, Machine Feeders and Offbearers,80,37430,37080,28590,41840
10,2,Central New York Region, 41-2011, Cashiers,8020,23340,22010,21632,24590
10,6,Mohawk Valley Region, 25-2023,"Career/Technical  Education Teachers, Middle School",70,80990,74250,57430,92770
10,10,Western New York Region, 25-1112," Law Teachers, Postsecondary",140,100660,90880,37430,132270
10,10,Western New York Region, 35-1012,First-Line Supervisors of Food Preparation and Serving Workers,3810,33900,30870,25350,38170
10,9,Southern Tier Region, 29-1126, Respiratory Therapists,180,68420,66650,55120,75060
1,36,New York State, 49-2092," Electric Motor, Power Tool, and Related Repairers",490,46160,39870,29370,54550
10,7,New York City Region, 51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",n/a,30240,27420,24960,34980
10,2,Central New York Region, 25-1123,"English Language and Literature Teachers, Postsecondary",440,74750,63770,45050,89600
10,10,Western New York Region, 15-1141, Database Administrators,350,77590,71970,42530,95120
10,9,Southern Tier Region, 19-3039," Psychologists, All Other",n/a,103130,92950,67520,120940
10,8,North Country Region, 35-2014," Cooks, Restaurant",1430,27780,26530,22750,30300
10,7,New York City Region, 11-9031,"Education Administrators, Preschool and Childcare Center/Program",2120,82020,74720,54940,95560
10,8,North Country Region, 53-3031, Driver/Sales Workers,350,34090,34550,21632,40640
10,5,Long Island Region, 29-1161, Nurse Midwives,n/a,120250,122840,92570,134090
1,36,New York State, 11-3131, Training and Development Managers,3470,145650,136490,84550,176200
10,8,North Country Region, 47-2181, Roofers,n/a,39080,35580,26190,45530
10,10,Western New York Region, 41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1410,95710,76090,47140,120000
10,6,Mohawk Valley Region, 31-2022, Physical Therapist Aides,n/a,27930,28680,23570,30110
10,6,Mohawk Valley Region, 11-9121, Natural Sciences Managers,n/a,110750,91790,66830,132710
10,4,Hudson Valley Region, 27-4032, Film and Video Editors,n/a,70600,58920,38470,86660
10,8,North Country Region, 25-2023,"Career/Technical  Education Teachers, Middle School",30,74490,75140,54510,84480
10,9,Southern Tier Region, 19-3051, Urban and Regional Planners,n/a,61260,59600,45280,69250
10,9,Southern Tier Region, 51-4121," Welders, Cutters, Solderers, and Brazers",650,41180,38660,31170,46190
10,3,Finger Lakes Region, 21-0000,Community and Social Service Occupations,12110,47920,45680,29210,57280
10,1,Capital Region, 25-1082," Library Science Teachers, Postsecondary",50,64220,51410,40550,76060
10,1,Capital Region, 43-3021, Billing and Posting Clerks,1710,39360,37520,30940,43570
1,36,New York State, 43-9011, Computer Operators,3920,45340,44130,27690,54160
10,7,New York City Region, 19-3022, Survey Researchers,340,66740,67660,41240,79480
10,2,Central New York Region, 11-1021, General and Operations Managers,5540,116600,91890,51680,149070
1,36,New York State, 53-7064," Packers and Packagers, Hand",26260,27490,24880,21680,30400
10,9,Southern Tier Region, 11-2022, Sales Managers,220,153930,142930,82740,189530
10,2,Central New York Region, 19-1022, Microbiologists,n/a,80600,75070,48770,96520
1,36,New York State, 25-0000,"Education, Training, and Library Occupations",684450,68520,58610,29080,88250
10,8,North Country Region, 45-4022, Logging Equipment Operators,150,39960,37820,31840,44020
1,36,New York State, 31-9094, Medical Transcriptionists,1750,41080,39740,31620,45810
10,2,Central New York Region, 53-6031, Automotive and Watercraft Service Attendants,380,25090,24160,21632,26950
10,1,Capital Region, 25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2200,72390,71240,47620,84770
10,2,Central New York Region, 39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",50,26130,23390,21632,28590
10,1,Capital Region, 39-3091, Amusement and Recreation Attendants,1020,23730,21820,21632,25170
10,5,Long Island Region, 39-9021, Personal Care Aides,23440,28030,27510,23120,30490
10,3,Finger Lakes Region, 49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",n/a,30840,32360,24060,34220
10,3,Finger Lakes Region, 29-9011, Occupational Health and Safety Specialists,300,63940,61130,44030,73900
10,5,Long Island Region, 43-4021, Correspondence Clerks,n/a,45660,45580,35640,50670
1,36,New York State, 47-5021," Earth Drillers, Except Oil and Gas",380,70810,61080,43970,84230
1,36,New York State, 23-2011, Paralegals and Legal Assistants,24240,58900,54080,39330,68690
10,1,Capital Region, 43-4011, Brokerage Clerks,200,42680,41140,32490,47780
10,3,Finger Lakes Region, 27-4014, Sound Engineering Technicians,50,63540,57860,32140,79240
1,36,New York State, 47-4090,Miscellaneous Construction and Related Workers,360,47570,42750,31320,55700
10,2,Central New York Region, 39-3031," Ushers, Lobby Attendants, and Ticket Takers",310,22490,21632,21632,23350
10,1,Capital Region, 51-3023, Slaughterers and Meat Packers,n/a,26160,24450,23340,27580
10,5,Long Island Region, 49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",280,60390,61640,42890,69140
10,2,Central New York Region, 11-9111, Medical and Health Services Managers,730,114330,100820,76630,133180
10,9,Southern Tier Region, 43-5051, Postal Service Clerks,260,48550,44150,37390,54130
10,2,Central New York Region, 33-1012, First-Line Supervisors of Police and Detectives,320,86540,80110,65750,96940
10,3,Finger Lakes Region, 41-2031,Retail Salespersons,18980,28630,23540,21632,32360
10,3,Finger Lakes Region, 53-6021, Parking Lot Attendants,370,28700,26950,22580,31750
10,1,Capital Region, 25-2053," Special Education Teachers, Middle School",440,77410,74440,55030,88590
10,4,Hudson Valley Region, 39-5092, Manicurists and Pedicurists,n/a,22270,21632,21632,23020
10,5,Long Island Region, 27-4011, Audio and Video Equipment Technicians,260,50220,46320,33380,58650
10,5,Long Island Region, 31-1013, Psychiatric Aides,750,35920,37190,23400,42180
10,10,Western New York Region, 47-1011,Supervisors of Construction and Extraction Workers,1770,75540,69070,49330,88650
10,1,Capital Region, 51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",260,35550,34950,25760,40440
10,7,New York City Region, 21-1023, Mental Health and Substance Abuse Social Workers,4620,65330,60330,42010,76990
10,3,Finger Lakes Region, 11-3021, Computer and Information Systems Managers,1210,142910,131760,92320,168210
10,7,New York City Region, 31-9092, Medical Assistants,12640,37780,37010,28390,42470
1,36,New York State, 45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",590,32670,28810,21632,38340
10,6,Mohawk Valley Region, 11-9039," Education Administrators, All Other",n/a,84890,83580,66900,93880
10,9,Southern Tier Region, 19-4031, Chemical Technicians,140,54920,55890,35180,64790
10,2,Central New York Region, 25-1066," Psychology Teachers, Postsecondary",200,85140,75890,51090,102170
10,1,Capital Region, 29-1062, Family and General Practitioners,140,168840,166920,104120,201190
10,5,Long Island Region, 47-2031, Carpenters,10660,67620,58660,37980,82440
10,10,Western New York Region, 49-0000,"Installation, Maintenance, and Repair Occupations",23940,47450,44650,29590,56370
10,1,Capital Region, 51-8031,Water and Wastewater Treatment Plant and System Operators,430,51450,50950,40350,57000
10,2,Central New York Region, 49-3093, Tire Repairers and Changers,380,29970,29000,23270,33320
10,2,Central New York Region, 29-1081, Podiatrists,n/a,179570,170680,97790,220460
10,7,New York City Region, 25-1052," Chemistry Teachers, Postsecondary",860,117720,115490,63340,144910
10,3,Finger Lakes Region, 51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",440,33670,29260,22910,39050
10,8,North Country Region, 13-1041, Compliance Officers,760,72620,81020,51110,83380
10,5,Long Island Region, 19-3031," Clinical, Counseling, and School Psychologists",1770,99160,97360,61210,118130
10,7,New York City Region, 51-6051," Sewers, Hand",280,26100,24960,24960,28790
10,1,Capital Region, 45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",n/a,57950,55450,41960,65950
10,7,New York City Region, 29-9092, Genetic Counselors,n/a,81590,79640,70000,87380
10,6,Mohawk Valley Region, 43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",240,39690,39520,29800,44630
10,6,Mohawk Valley Region, 41-0000,Sales and Related Occupations,17490,35830,24900,21632,42930
10,1,Capital Region, 49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",n/a,37080,37850,30770,40230
10,6,Mohawk Valley Region, 49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",n/a,57350,59800,45770,63140
10,2,Central New York Region, 49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,n/a,37970,36410,28140,42890
